Time, NodeID, Population, VectorPopulation, AdultCount, InfectedCount, InfectiousCount, MaleCount, NewEggsCount, IndoorBitesCount, OutdoorBitesCount, MigrationFromCountLocal, MigrationFromCountRegional, SillySkeeter_AvailableHabitat, SillySkeeter_EggCrowdingCorrection
17,2,2,0,0,0,0,0,0,0,0,0,0,4.41e+06,1
17,1,0,1,0,0,1,1,0,0,0,0,0,4.41e+06,1
18,3,0,1,1,0,0,0,0,0,0,0,0,4.41e+06,1
18,2,2,0,0,0,0,0,0,0,0,0,0,4.41e+06,1
18,1,0,1,0,0,1,1,0,0,0,0,0,4.41e+06,1
19,3,0,1,1,0,0,0,0,0,0,0,0,4.41e+06,1
19,2,1,0,0,0,0,0,0,0,0,0,0,4.41e+06,1
19,1,1,0,0,0,0,1,0,0,0,0,0,4.41e+06,1
20,3,0,1,1,0,0,0,0,0,0,0,0,4.41e+06,1
20,2,2,0,0,0,0,0,0,0,0,0,0,4.41e+06,1
20,1,0,0,0,0,0,1,0,0,0,0,0,4.41e+06,1
21,3,0,1,1,0,0,0,0,0,0,0,0,4.41e+06,1
21,2,2,0,0,0,0,0,0,0,0,0,0,4.41e+06,1
21,1,0,0,0,0,0,1,0,0,0,0,0,4.41e+06,1
22,3,0,1,1,0,0,0,0,0,0,0,0,4.41e+06,1
22,2,2,0,0,0,0,0,0,0,0,0,0,4.41e+06,1
22,1,0,0,0,0,0,1,0,0,0,0,0,4.41e+06,1
23,3,0,1,1,0,0,0,0,0,0,0,0,4.41e+06,1
23,2,2,0,0,0,0,0,0,0,0,0,0,4.41e+06,1
23,1,0,0,0,0,0,1,0,0,0,0,0,4.41e+06,1
24,3,0,1,1,0,0,0,0,0,0,0,0,4.41e+06,1
24,2,2,0,0,0,0,0,0,0,0,0,0,4.41e+06,1
24,1,0,0,0,0,0,1,0,0,0,0,0,4.41e+06,1
25,3,0,0,0,0,0,0,0,0,0,0,0,4.41e+06,1
25,2,2,0,0,0,0,0,0,0,0,0,0,4.41e+06,1
25,1,0,0,0,0,0,1,0,0,0,0,0,4.41e+06,1
26,3,0,0,0,0,0,0,0,0,0,0,0,4.41e+06,1
26,2,2,0,0,0,0,0,0,0,0,0,0,4.41e+06,1
26,1,0,0,0,0,0,0,0,0,0,0,0,4.41e+06,1
27,3,0,0,0,0,0,0,0,0,0,0,0,4.41e+06,1
27,2,2,0,0,0,0,0,0,0,0,0,0,4.41e+06,1
27,1,0,0,0,0,0,0,0,0,0,0,0,4.41e+06,1
28,3,0,0,0,0,0,0,0,0,0,0,0,4.41e+06,1
28,2,2,0,0,0,0,0,0,0,0,0,0,4.41e+06,1
28,1,0,0,0,0,0,0,0,0,0,0,0,4.41e+06,1
29,3,0,0,0,0,0,0,0,0,0,0,0,4.41e+06,1
29,2,2,0,0,0,0,0,0,0,0,0,0,4.41e+06,1
29,1,0,0,0,0,0,0,0,0,0,0,0,4.41e+06,1
