Time,NodeID,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,MigrationFromCountLocal,MigrationFromCountRegional,SillySkeeter_AvailableHabitat,SillySkeeter_EggCrowdingCorrection,NumInfectousBitesGiven,NumInfectousBitesReceived,InfectiousBitesGivenMinusReceived,NumVectorsNone,NumVectorsOnlyOocysts,NumVectorsOnlySporozoites,NumVectorsBothOocystsSporozoites,NumBitesAdults,NumBitesInfected,NumBitesInfectious,NumParasiteCohortsOocysts,NumParasiteCohortsSporozoites,NumOocysts,NumSporozoites,NumInfectiousToAdult,NumInfectiousToInfected
39,340461476,1000,3215,0,0,3215,4073,6074,192010,117800,58900,1028,0,0,0,534,0,278,99,0,0,0,22200.8,0.181533,0,0,0,3215,0,0,0,1028,0,0,0,0,0,0,0,0
40,340461476,1000,3331,0,0,3331,4219,6076,194258,150400,75200,1162,0,0,0,568,0,333,119,0,0,0,22156.5,0.188462,0,0,0,3331,0,0,0,1162,0,0,0,0,0,0,0,0
41,340461476,1000,3489,0,0,3489,4437,6157,196094,139800,69900,1166,0,0,0,594,0,319,117,0,0,0,22444.9,0.147317,0,0,0,3489,0,0,0,1166,0,0,0,0,0,0,0,0
42,340461476,1000,3641,0,0,3641,4569,6314,197996,140400,70200,1176,0,0,0,598,0,330,116,0,0,0,22590.7,0.16055,0,0,0,3641,0,0,0,1176,0,0,0,0,0,0,0,0
43,340461476,1000,3745,0,0,3745,4734,6342,199786,162600,81300,1292,0,0,0,583,0,345,134,0,0,0,22774.7,0.160902,0,0,0,3745,0,0,0,1292,0,0,0,0,0,0,0,0
44,340461476,1000,3849,0,0,3849,4880,6393,201316,166000,83000,1295,0,0,0,609,0,358,147,0,0,0,23147.5,0.140066,0,0,0,3849,0,0,0,1295,0,0,0,0,0,0,0,0
45,340461476,1000,3947,0,0,3947,5008,6487,203252,163400,81700,1299,0,0,0,617,0,387,132,0,0,0,23045.9,0.139443,0,0,0,3947,0,0,0,1299,0,0,0,0,0,0,0,0
46,340461476,1000,3997,0,0,3997,5209,6897,204421,177400,88700,1378,0,0,0,556,0,389,117,0,0,0,23645.1,0.14104,0,0,0,3997,0,0,0,1378,0,0,0,0,0,0,0,0
47,340461476,1000,4147,0,0,4147,5315,7003,206624,179800,89900,1341,0,0,0,629,0,348,131,0,0,0,23146.6,0.133287,0,0,0,4147,0,0,0,1341,0,0,0,0,0,0,0,0
48,340461476,1000,4259,0,0,4259,5398,7243,207738,190400,95200,1437,0,0,0,654,0,389,153,0,0,0,23675.6,0.128735,0,0,0,4259,0,0,0,1437,0,0,0,0,0,0,0,0
49,340461476,1000,4353,0,0,4353,5536,7521,209667,199400,99700,1517,0,0,0,617,0,362,161,0,0,0,23330.5,0.124347,0,0,0,4353,0,0,0,1517,0,0,0,0,0,0,0,0
50,340461476,1000,4561,0,0,4561,5802,7110,211170,188400,94200,1429,0,0,0,764,0,419,137,0,0,0,23354.3,0.117004,0,0,0,4561,0,0,0,1429,0,0,0,0,0,0,0,0
51,340461476,1000,4654,0,0,4654,5959,6914,212501,206200,103100,1642,0,0,0,664,0,413,158,0,0,0,23495.1,0.123961,0,0,0,4654,0,0,0,1642,0,0,0,0,0,0,0,0
52,340461476,1000,4736,0,0,4736,6128,6456,214298,214200,107100,1580,0,0,0,692,0,453,157,0,0,0,23116.8,0.113943,0,0,0,4736,0,0,0,1580,0,0,0,0,0,0,0,0
53,340461476,1000,4895,0,0,4895,6254,5571,215865,202000,101000,1572,0,0,0,764,0,455,150,0,0,0,22917.5,0.107922,0,0,0,4895,0,0,0,1572,0,0,0,0,0,0,0,0
54,340461476,1000,4870,0,0,4870,6362,8173,213827,232800,116400,1754,0,0,0,612,0,470,167,0,0,0,26273.8,0.113453,0,0,0,4870,0,0,0,1754,0,0,0,0,0,0,0,0
55,340461476,1000,4812,0,0,4812,6378,8390,217450,222000,111000,1583,0,0,0,580,0,474,164,0,0,0,23921.7,0.11286,0,0,0,4812,0,0,0,1583,0,0,0,0,0,0,0,0
56,340461476,1000,4805,0,0,4805,6283,8858,218336,222400,111200,1556,0,0,0,551,0,410,148,0,0,0,24260.7,0.107755,0,0,0,4805,0,0,0,1556,0,0,0,0,0,0,0,0
57,340461476,1000,4581,0,0,4581,6026,9600,219515,251000,125500,1657,0,0,0,422,0,480,166,0,0,0,24262.6,0.109086,0,0,0,4581,0,0,0,1657,0,0,0,0,0,0,0,0
58,340461476,1000,5482,0,0,5482,6939,8157,220390,224800,112400,1416,0,0,0,1474,0,436,137,0,0,0,24526,0.0966638,0,0,0,5482,0,0,0,1416,0,0,0,0,0,0,0,0
59,340461476,1000,5541,0,0,5541,6988,8229,221823,219000,109500,2303,0,0,0,774,0,523,192,0,0,0,24190.3,0.109101,0,0,0,5541,0,0,0,2303,0,0,0,0,0,0,0,0
60,340461476,1000,5684,0,0,5684,7094,8286,222241,236600,118300,1809,0,0,0,848,0,500,205,0,0,0,24830.1,0.110458,0,0,0,5684,0,0,0,1809,0,0,0,0,0,0,0,0
61,340461476,1000,5763,0,0,5763,7190,8323,223378,202800,101400,1689,0,0,0,796,0,552,165,0,0,0,24712.8,0.104945,0,0,0,5763,0,0,0,1689,0,0,0,0,0,0,0,0
62,340461476,1000,5802,0,0,5802,7298,8344,224787,327000,163500,2231,0,0,0,812,0,556,217,0,0,0,24286.7,0.121858,0,0,0,5802,0,0,0,2231,0,0,0,0,0,0,0,0
63,340461476,1000,5831,0,0,5831,7400,8419,225292,247600,123800,1862,0,0,0,778,0,556,193,0,0,0,24729.2,0.0742713,0,0,0,5831,0,0,0,1862,0,0,0,0,0,0,0,0
64,340461476,1000,5895,0,0,5895,7536,8415,226005,240800,120400,1803,0,0,0,820,0,578,178,0,0,0,24929.6,0.0998757,0,0,0,5895,0,0,0,1803,0,0,0,0,0,0,0,0
65,340461476,1000,5868,0,0,5868,7628,8503,226973,316400,158200,2192,0,0,0,759,0,558,228,0,0,0,24842.1,0.103528,0,0,0,5868,0,0,0,2192,0,0,0,0,0,0,0,0
66,340461476,1000,5906,0,0,5906,7775,8553,228232,265000,132500,1920,0,0,0,805,0,554,213,0,0,0,24431.8,0.0785147,0,0,0,5906,0,0,0,1920,0,0,0,0,0,0,0,0
67,340461476,1000,5993,0,0,5993,7817,8720,228509,252400,126200,1890,0,0,0,827,0,543,197,0,0,0,24973,0.0921955,0,0,0,5993,0,0,0,1890,0,0,0,0,0,0,0,0
68,340461476,1000,6058,0,0,6058,7873,8787,229338,320000,160000,2225,0,0,0,853,0,555,233,0,0,0,24932.6,0.098942,0,0,0,6058,0,0,0,2225,0,0,0,0,0,0,0,0
69,340461476,1000,6164,0,0,6164,7958,8948,229899,266600,133300,2007,0,0,0,837,0,535,196,0,0,0,25131.9,0.0779145,0,0,0,6164,0,0,0,2007,0,0,0,0,0,0,0,0
70,340461476,1000,6260,0,0,6260,8017,9011,229987,267200,133600,2007,0,0,0,877,0,599,182,0,0,0,25776.7,0.0942681,0,0,0,6260,0,0,0,2007,0,0,0,0,0,0,0,0
71,340461476,1000,6328,0,0,6328,8194,9005,231228,313400,156700,2252,0,0,0,870,0,579,223,0,0,0,25242.2,0.0964698,0,0,0,6328,0,0,0,2252,0,0,0,0,0,0,0,0
72,340461476,1000,6339,0,0,6339,8232,9090,231452,284200,142100,2108,0,0,0,853,0,631,211,0,0,0,25699.2,0.080543,0,0,0,6339,0,0,0,2108,0,0,0,0,0,0,0,0
73,340461476,1000,6424,0,0,6424,8378,9070,232869,284400,142200,2093,0,0,0,886,0,599,202,0,0,0,24938.6,0.0904264,0,0,0,6424,0,0,0,2093,0,0,0,0,0,0,0,0
74,340461476,1000,6466,0,0,6466,8458,9032,232937,314000,157000,2248,0,0,0,864,0,587,235,0,0,0,25503.4,0.0876886,0,0,0,6466,0,0,0,2248,0,0,0,0,0,0,0,0
75,340461476,1000,6438,0,0,6438,8533,8945,233659,298000,149000,2149,0,0,0,863,0,643,248,0,0,0,25391.4,0.0812211,0,0,0,6438,0,0,0,2149,0,0,0,0,0,0,0,0
76,340461476,1000,6502,0,0,6502,8573,8982,234408,296800,148400,2133,0,0,0,886,0,630,192,0,0,0,25230.5,0.0852062,0,0,0,6502,0,0,0,2133,0,0,0,0,0,0,0,0
77,340461476,1000,6520,0,0,6520,8673,9170,234363,313600,156800,2212,0,0,0,862,0,641,203,0,0,0,25842.3,0.0850083,0,0,0,6520,0,0,0,2212,0,0,0,0,0,0,0,0
78,340461476,1000,6571,0,0,6571,8771,9283,235385,299000,149500,2162,0,0,0,852,0,590,211,0,0,0,25366.7,0.0824052,0,0,0,6571,0,0,0,2162,0,0,0,0,0,0,0,0
79,340461476,1000,6620,0,0,6620,8796,9434,235585,309400,154700,2221,0,0,0,866,0,611,206,0,0,0,25693.4,0.0848384,0,0,0,6620,0,0,0,2221,0,0,0,0,0,0,0,0
80,340461476,1000,6635,0,0,6635,8787,9441,235866,315800,157900,2242,0,0,0,886,0,641,230,0,0,0,25920.1,0.0830427,0,0,0,6635,0,0,0,2242,0,0,0,0,0,0,0,0
81,340461476,1000,6676,0,0,6676,8866,9512,236382,313000,156500,2230,0,0,0,933,0,672,220,0,0,0,25893.6,0.0820777,0,0,0,6676,0,0,0,2230,0,0,0,0,0,0,0,0
82,340461476,1000,6706,0,0,6706,8920,9348,236872,307000,153500,2265,0,0,0,913,0,641,242,0,0,0,25875.4,0.0827271,0,0,0,6706,0,0,0,2265,0,0,0,0,0,0,0,0
83,340461476,1000,6690,0,0,6690,8980,9331,237348,305200,152600,2205,0,0,0,886,0,665,237,0,0,0,25854.2,0.0842847,0,0,0,6690,0,0,0,2205,0,0,0,0,0,0,0,0
84,340461476,1000,6696,0,0,6696,9079,9379,237851,317800,158900,2256,0,0,0,907,0,684,217,0,0,0,25789.6,0.0847124,0,0,0,6696,0,0,0,2256,0,0,0,0,0,0,0,0
85,340461476,1000,6743,0,0,6743,9162,9185,238693,309400,154700,2241,0,0,0,944,0,699,198,0,0,0,25370.3,0.0811505,0,0,0,6743,0,0,0,2241,0,0,0,0,0,0,0,0
86,340461476,1000,6734,0,0,6734,9141,9360,238660,309200,154600,2322,0,0,0,844,0,640,213,0,0,0,25810.7,0.0819982,0,0,0,6734,0,0,0,2322,0,0,0,0,0,0,0,0
87,340461476,1000,6779,0,0,6779,9189,9361,239190,316800,158400,2225,0,0,0,919,0,648,226,0,0,0,25673.4,0.0834756,0,0,0,6779,0,0,0,2225,0,0,0,0,0,0,0,0
88,340461476,1000,6854,0,0,6854,9250,9361,239002,317800,158900,2303,0,0,0,958,0,655,228,0,0,0,26239.9,0.0810397,0,0,0,6854,0,0,0,2303,0,0,0,0,0,0,0,0
89,340461476,1000,6844,0,0,6844,9213,9421,239482,324800,162400,2371,0,0,0,856,0,645,221,0,0,0,26124.8,0.0825675,0,0,0,6844,0,0,0,2371,0,0,0,0,0,0,0,0
90,340461476,1000,6879,0,0,6879,9220,9407,240033,319800,159900,2255,0,0,0,891,0,629,227,0,0,0,25925.6,0.0804336,0,0,0,6879,0,0,0,2255,0,0,0,0,0,0,0,0
91,340461476,1000,6919,0,0,6919,9261,9439,240109,320400,160200,2282,0,0,0,910,0,647,223,0,0,0,26188.7,0.0810682,0,0,0,6919,0,0,0,2282,0,0,0,0,0,0,0,0
92,340461476,1000,6908,0,0,6908,9359,9360,240497,338600,169300,2386,0,0,0,927,0,684,254,0,0,0,26127.6,0.0817376,0,0,0,6908,0,0,0,2386,0,0,0,0,0,0,0,0
93,340461476,1000,6925,0,0,6925,9379,9454,241008,320200,160100,2329,0,0,0,934,0,677,240,0,0,0,25931.7,0.0771636,0,0,0,6925,0,0,0,2329,0,0,0,0,0,0,0,0
94,340461476,1000,6990,0,0,6990,9376,9539,240765,324200,162100,2337,0,0,0,889,0,615,209,0,0,0,26478.4,0.0809859,0,0,0,6990,0,0,0,2337,0,0,0,0,0,0,0,0
95,340461476,1000,6972,0,0,6972,9404,9745,241144,329800,164900,2323,0,0,0,895,0,677,236,0,0,0,26392.3,0.0816732,0,0,0,6972,0,0,0,2323,0,0,0,0,0,0,0,0
96,340461476,1000,7011,0,0,7011,9410,9799,241862,331000,165500,2313,0,0,0,899,0,655,205,0,0,0,25956.5,0.080025,0,0,0,7011,0,0,0,2313,0,0,0,0,0,0,0,0
97,340461476,1000,7041,0,0,7041,9458,9675,242064,339600,169800,2358,0,0,0,942,0,678,234,0,0,0,26026.6,0.0784184,0,0,0,7041,0,0,0,2358,0,0,0,0,0,0,0,0
98,340461476,1000,7088,0,0,7088,9558,9671,242447,323800,161900,2358,0,0,0,927,0,651,229,0,0,0,25905.8,0.0766389,0,0,0,7088,0,0,0,2358,0,0,0,0,0,0,0,0
99,340461476,1000,7117,0,0,7117,9633,9628,242123,334600,167300,2377,0,0,0,956,0,693,234,0,0,0,26482.7,0.0800057,0,0,0,7117,0,0,0,2377,0,0,0,0,0,0,0,0
100,340461476,1000,7083,0,0,7083,9656,9574,242846,332600,166300,2388,0,0,0,906,0,709,231,0,0,0,26003.4,0.0791472,0,0,0,7083,0,0,0,2388,0,0,0,0,0,0,0,0
101,340461476,1000,7109,0,0,7109,9593,9742,242924,333200,166600,2367,0,0,0,927,0,654,247,0,0,0,26160.3,0.0781821,0,0,0,7109,0,0,0,2367,0,0,0,0,0,0,0,0
102,340461476,1000,7129,0,0,7129,9620,9764,243666,336400,168200,2388,0,0,0,929,0,673,236,0,0,0,25644.8,0.0785123,0,0,0,7129,0,0,0,2388,0,0,0,0,0,0,0,0
103,340461476,1000,7177,0,0,7177,9616,9869,243203,339800,169900,2431,0,0,0,958,0,667,243,0,0,0,26326.1,0.076233,0,0,0,7177,0,0,0,2431,0,0,0,0,0,0,0,0
104,340461476,1000,7256,0,0,7256,9620,9962,243651,338800,169400,2404,0,0,0,928,0,625,224,0,0,0,26088.5,0.0774753,0,0,0,7256,0,0,0,2404,0,0,0,0,0,0,0,0
105,340461476,1000,7272,0,0,7272,9697,9895,244142,341400,170700,2405,0,0,0,970,0,729,225,0,0,0,25800.4,0.0770027,0,0,0,7272,0,0,0,2405,0,0,0,0,0,0,0,0
106,340461476,1000,7287,0,0,7287,9689,9921,244058,344000,172000,2450,0,0,0,971,0,711,245,0,0,0,26079.9,0.0755723,0,0,0,7287,0,0,0,2450,0,0,0,0,0,0,0,0
107,340461476,1000,7347,0,0,7347,9734,9865,244179,343800,171900,2440,0,0,0,964,0,680,224,0,0,0,26147.4,0.0758137,0,0,0,7347,0,0,0,2440,0,0,0,0,0,0,0,0
108,340461476,1000,7347,0,0,7347,9794,9787,244588,344200,172100,2456,0,0,0,951,0,699,252,0,0,0,25920.1,0.0760541,0,0,0,7347,0,0,0,2456,0,0,0,0,0,0,0,0
109,340461476,1000,7459,0,0,7459,9818,9724,244464,349800,174900,2508,0,0,0,981,0,626,243,0,0,0,26219.3,0.0753054,0,0,0,7459,0,0,0,2508,0,0,0,0,0,0,0,0
110,340461476,1000,7461,0,0,7461,9885,9610,244580,349400,174700,2492,0,0,0,927,0,687,238,0,0,0,26272.1,0.0749551,0,0,0,7461,0,0,0,2492,0,0,0,0,0,0,0,0
111,340461476,1000,7466,0,0,7466,9862,9718,244435,355200,177600,2491,0,0,0,956,0,710,241,0,0,0,26579.9,0.0751921,0,0,0,7466,0,0,0,2491,0,0,0,0,0,0,0,0
112,340461476,1000,7442,0,0,7442,9861,9913,245015,350400,175200,2499,0,0,0,918,0,686,256,0,0,0,26156.8,0.0748307,0,0,0,7442,0,0,0,2499,0,0,0,0,0,0,0,0
113,340461476,1000,7351,0,0,7351,9845,9945,245171,354800,177400,2474,0,0,0,885,0,735,241,0,0,0,26152,0.0746484,0,0,0,7351,0,0,0,2474,0,0,0,0,0,0,0,0
114,340461476,1000,7318,0,0,7318,9861,10062,245237,353600,176800,2457,0,0,0,931,0,727,237,0,0,0,26231.8,0.0737092,0,0,0,7318,0,0,0,2457,0,0,0,0,0,0,0,0
115,340461476,1000,7326,0,0,7326,9855,10117,245387,350600,175300,2475,0,0,0,952,0,692,252,0,0,0,26222.3,0.074185,0,0,0,7326,0,0,0,2475,0,0,0,0,0,0,0,0
116,340461476,1000,7432,0,0,7432,9957,10032,245185,347000,173500,2456,0,0,0,1041,0,702,233,0,0,0,26559.8,0.0747928,0,0,0,7432,0,0,0,2456,0,0,0,0,0,0,0,0
117,340461476,1000,7417,0,0,7417,10032,10045,245317,348000,174000,2541,0,0,0,922,0,682,255,0,0,0,26558.4,0.0765412,0,0,0,7417,0,0,0,2541,0,0,0,0,0,0,0,0
118,340461476,1000,7454,0,0,7454,10072,10145,245295,354600,177300,2485,0,0,0,964,0,688,239,0,0,0,26706.3,0.0763173,0,0,0,7454,0,0,0,2485,0,0,0,0,0,0,0,0
119,340461476,1000,7426,0,0,7426,10017,10172,245745,347000,173500,2468,0,0,0,978,0,764,242,0,0,0,26377.7,0.0753139,0,0,0,7426,0,0,0,2468,0,0,0,0,0,0,0,0
120,340461476,1000,7398,0,0,7398,10028,10149,246208,356200,178100,2526,0,0,0,958,0,753,233,0,0,0,26031.6,0.0760163,0,0,0,7398,0,0,0,2526,0,0,0,0,0,0,0,0
121,340461476,1000,7464,0,0,7464,10004,10123,245826,346400,173200,2479,0,0,0,1026,0,711,249,0,0,0,26526.4,0.0730815,0,0,0,7464,0,0,0,2479,0,0,0,0,0,0,0,0
122,340461476,1000,7454,0,0,7454,10148,10071,245874,342800,171400,2493,0,0,0,993,0,740,263,0,0,0,26587.1,0.0765774,0,0,0,7454,0,0,0,2493,0,0,0,0,0,0,0,0
123,340461476,1000,7499,0,0,7499,10160,10074,246229,357200,178600,2563,0,0,0,1005,0,699,261,0,0,0,26336.9,0.0775587,0,0,0,7499,0,0,0,2563,0,0,0,0,0,0,0,0
124,340461476,1000,7500,0,0,7500,10174,10130,245730,354400,177200,2556,0,0,0,946,0,702,243,0,0,0,26936.9,0.0737315,0,0,0,7500,0,0,0,2556,0,0,0,0,0,0,0,0
125,340461476,1000,7504,0,0,7504,10168,10066,246606,346200,173100,2451,0,0,0,933,0,681,248,0,0,0,26158.3,0.0760071,0,0,0,7504,0,0,0,2451,0,0,0,0,0,0,0,0
126,340461476,1000,7458,0,1,7457,10224,10037,246590,366000,183000,2513,0,0,0,948,0,739,255,0,0,0,26268.2,0.0755583,0,0,0,7457,1,0,0,2513,0,0,1,0,1,0,0,0
127,340461476,1000,7483,0,9,7474,10218,10046,246198,360800,180400,2525,0,0,0,986,0,726,235,0,0,0,26750.6,0.0717709,0,0,0,7474,9,0,0,2525,0,0,9,0,33,0,0,0
128,340461476,1000,7473,0,35,7438,10211,9961,246602,346000,173000,2495,0,0,0,983,0,740,253,0,0,0,26433.8,0.0741425,0,0,0,7438,35,0,0,2495,0,0,35,0,111,0,0,0
129,340461476,1000,7451,0,65,7386,10161,10067,247024,348160,174080,2471,0,0,0,964,0,752,234,0,0,0,26095.9,0.0763984,0,0,0,7386,65,0,0,2470,1,0,65,0,220,0,0,0
